Test loss: 2.881739377975464, Test accuracy: 0.36016950011253357
Epoch	Loss	Accuracy	Val_loss	Val_accuracy
1	2.5864224433898926	0.10610079765319824	2.407471179962158	0.13756613433361053
2	2.423236131668091	0.1034482792019844	2.409027576446533	0.0634920671582222
3	2.4015393257141113	0.1326259970664978	2.3569023609161377	0.14814814925193787
4	2.338228225708008	0.1618037074804306	2.3204283714294434	0.1587301641702652
5	2.2662513256073	0.18169760704040527	2.3240420818328857	0.12169311940670013
6	2.207108497619629	0.21087533235549927	2.3592445850372314	0.17989417910575867
7	2.1812198162078857	0.22679045796394348	2.2490646839141846	0.16402116417884827
8	2.092582941055298	0.25994694232940674	2.1889920234680176	0.21693122386932373
9	2.054889678955078	0.29045093059539795	2.1745333671569824	0.2698412835597992
10	1.9259363412857056	0.3474801182746887	2.1059701442718506	0.26455026865005493
11	1.8124115467071533	0.37135279178619385	2.1035497188568115	0.2539682686328888
12	1.640632152557373	0.43633952736854553	2.0892608165740967	0.2380952388048172
13	1.5596579313278198	0.4694960117340088	2.0458974838256836	0.27513226866722107
14	1.355660080909729	0.546419084072113	2.145829677581787	0.27513226866722107
15	1.2186249494552612	0.5649867653846741	2.1203725337982178	0.32275131344795227
16	1.0603621006011963	0.6511936187744141	2.2872331142425537	0.34391534328460693
17	0.8887016773223877	0.7015914916992188	2.61122727394104	0.27513226866722107
18	0.716006338596344	0.7625994682312012	2.7632672786712646	0.31216931343078613
19	0.5787544250488281	0.8143236041069031	2.904104709625244	0.3174603283405304
20	0.45064181089401245	0.8607426881790161	3.1887073516845703	0.28042328357696533
